task_id,option_id,records,positive_labels,negative_labels,positive_ratio,records_with_consensus_votes
F1QB,background_clean,325,284,41,0.8738461538461538,1
F1QB,posture_match,326,241,85,0.7392638036809815,1
F1QB,species_match,327,323,4,0.9877675840978594,1
F1QL,broken_lines,193,0,193,0.0,193
F1QL,fuzzy_lines,193,12,181,0.06217616580310881,193
F1QL,no_line_issues,193,81,112,0.41968911917098445,193
F1QL,too_thick,193,100,93,0.5181347150259067,193
F1QP,all_correct,108,38,70,0.35185185185185186,45
F1QP,extra_parts,107,17,90,0.1588785046728972,45
F1QP,missing_parts,109,29,80,0.26605504587155965,45
F1QP,wrong_location,106,7,99,0.0660377358490566,45
F1QT,bleeds_boundaries,20,0,20,0.0,0
F1QT,far_near_wrong,20,1,19,0.05,0
F1QT,inconsistent_within_elements,20,4,16,0.2,0
F1QT,missing_texture,20,10,10,0.5,0
F1QT,no_issues_good,20,5,15,0.25,0
F1QT,too_dense_cluttered,20,1,19,0.05,0
F1QT,too_similar_adjacent,20,1,19,0.05,0
F1QV,angle_match,194,194,0,1.0,194
F1QV,view_frontal,194,30,164,0.15463917525773196,194
F1QV,view_perspective,194,0,194,0.0,194
F1QV,view_side,194,162,32,0.8350515463917526,194
F1QV,view_top,194,2,192,0.010309278350515464,194
F2QB,background_clean,210,204,6,0.9714285714285714,24
F2QB,posture_match,211,0,211,0.0,24
F2QB,species_match,211,0,211,0.0,24
F2QL,broken_lines,202,24,178,0.1188118811881188,91
F2QL,fuzzy_lines,211,15,196,0.07109004739336493,91
F2QL,no_line_issues,204,147,57,0.7205882352941176,91
F2QL,too_thick,211,1,210,0.004739336492890996,91
F2QP,all_correct,166,67,99,0.4036144578313253,131
F2QP,extra_parts,171,30,141,0.17543859649122806,131
F2QP,missing_parts,170,46,124,0.27058823529411763,131
F2QP,wrong_location,171,11,160,0.06432748538011696,131
F2QT,bleeds_boundaries,211,3,208,0.014218009478672985,68
F2QT,far_near_wrong,207,2,205,0.00966183574879227,68
F2QT,inconsistent_within_elements,199,20,179,0.10050251256281408,68
F2QT,missing_texture,193,141,52,0.7305699481865285,68
F2QT,no_issues_good,209,13,196,0.06220095693779904,68
F2QT,too_dense_cluttered,210,1,209,0.004761904761904762,68
