worker_id,votes,correct,accuracy
A22YCS3UW15WOO,3591,3192,0.8889
A2FK6782M09EBO,3009,2675,0.8890
AJZHPDCKUVRM8,2713,2254,0.8308
A1SMWIBTQ2AESU,2637,2272,0.8616
A1GFLIIHEL2KVW,2489,2031,0.8160
A2NZLZLLAZYXJX,2422,2108,0.8704
A2MFNJV6MARUI,1810,1477,0.8160
AZG7LNQUXYW8V,1773,1519,0.8567
A1UR7H7FKO0ZUL,1721,1425,0.8280
ASD3A849JVVRZ,1589,1535,0.9660
A2D07SVRO4UFVL,1550,1311,0.8458
A2J1106X8NPZGP,1538,1150,0.7477
A30GP1W7S6H4VX,1497,1322,0.8831
A3CPZZ5SJWZ182,1439,937,0.6511
A1ASIOBX12Z73I,1406,1187,0.8442
AANFSTZSFMWNW,1396,1068,0.7650
A1MYCZT6OX9G20,1387,1249,0.9005
A32BQKMVUH8ZYJ,1251,868,0.6938
A1H1NFS80HT7LX,1236,1099,0.8892
A216EN2HTJUQJR,1226,910,0.7423
ALJH5865ISWT1,1218,1140,0.9360
A3MFBBVX106DGI,1137,1057,0.9296
A312G4F6TIKFFQ,1127,1005,0.8917
AM8EV600ZP69X,1119,924,0.8257
ANPPS2BP5MHDE,1105,983,0.8896
A29QXD23ZZTAZJ,1058,950,0.8979
A2M3DR0V45HNUL,1050,800,0.7619
A2QX81MMC8KN80,1027,817,0.7955
AAY4GPG1M4MQX,1027,883,0.8598
A11HKV0CDTZUQF,968,406,0.4194
A1CMJNN1QQKLU8,960,878,0.9146
A80XRGJXN2D22,957,850,0.8882
A18P8FU1N4QUWA,948,426,0.4494
A21SP66LYUNOR7,925,867,0.9373
A9O6HJE36LUC7,907,791,0.8721
A3UPEZR0XSE052,905,845,0.9337
A3834LTJK8I0Y2,904,716,0.7920
A3VCTHO95DZWAQ,903,833,0.9225
A1XT2MMWYNR9HU,873,728,0.8339
AM6XJQNLFEV4J,863,745,0.8633
A1O71XNV203T5P,858,546,0.6364
A2B6YXMDWJ4VXN,854,712,0.8337
A33I0A28TLIR6J,828,781,0.9432
A11RQ0K5GQ3NJG,818,712,0.8704
